sample_id,source,cell_type,method,description,path_R1,path_R2,md5sum_R1,md5sum_R2,internal_path,sequencing_facility,batch_id,target_depth,indexing_pcr_cycles,ng_dna_for_prep,ng_unmethylated_lambda
Healthy_Nu-21-PBMC,pbmc,bulk,emseq,,,,,,,medgenome,,30x,6,100,0.5
Healthy_Nu-22-PBMC,pbmc,bulk,emseq,,,,,,,medgenome,,30x,6,90,0.45
Healthy_Nu-41-PBMC,pbmc,bulk,emseq,,,,,,,medgenome,,30x,6,100,0.5
Healthy_Nu-45-PBMC,pbmc,bulk,emseq,,,,,,,medgenome,,30x,6,100,0.5
Healthy_Nu-52-PBMC,pbmc,bulk,emseq,,,,,,,medgenome,,30x,6,100,0.5
Healthy_Nu-53-PBMC,pbmc,bulk,emseq,,,,,,,medgenome,,30x,6,100,0.5
Healthy_Nu-54-PBMC,pbmc,bulk,emseq,,,,,,,medgenome,,30x,6,100,0.5
Healthy_Nu-55-PBMC,pbmc,bulk,emseq,,,,,,,medgenome,,30x,6,100,0.5
Healthy_Nu-56-PBMC,pbmc,bulk,emseq,,,,,,,medgenome,,30x,6,100,0.5
Healthy_Nu-57-PBMC,pbmc,bulk,emseq,,,,,,,medgenome,,30x,6,100,0.5
Healthy_Nu-58-PBMC,pbmc,bulk,emseq,,,,,,,medgenome,,30x,6,100,0.5
Healthy_Nu-61-PBMC,pbmc,bulk,emseq,,,,,,,medgenome,,30x,6,100,0.5
Healthy_Nu-62-PBMC,pbmc,bulk,emseq,,,,,,,medgenome,,30x,6,100,0.5
Healthy_Nu-63-PBMC,pbmc,bulk,emseq,,,,,,,medgenome,,30x,6,100,0.5
Healthy_Nu-64-PBMC,pbmc,bulk,emseq,,,,,,,medgenome,,30x,6,100,0.5
Healthy_Nu-65-PBMC,pbmc,bulk,emseq,,,,,,,medgenome,,30x,6,100,0.5
Healthy_Nu-66-PBMC,pbmc,bulk,emseq,,,,,,,medgenome,,30x,6,100,0.5
Healthy_Nu-67-PBMC,pbmc,bulk,emseq,,,,,,,medgenome,,30x,6,100,0.5
Healthy_Nu-68-PBMC,pbmc,bulk,emseq,,,,,,,medgenome,,30x,6,100,0.5
Healthy_Nu-69-PBMC,pbmc,bulk,emseq,,,,,,,medgenome,,30x,6,100,0.5
